Title,Author,Year,Input,Purpose,Medial,Domain,Approach,Advantages,Limitations
Medial Axis Extraction and Thickness Measurement of Formed Sheet Metal Parts,Nataša Petrovi?,2010,Mesh,Thinness,MAT,SheetM,Thickness measurement of scanned sheet metal point cloud.,,
A Medial Axis Based Thinning Strategy for Character Images,Soumen Bag; Gaurav Harit,2011,Voxel,DimRedn,MAT,,"e proposed a medial axis based thinning strategy used for performing skeletonization of printed and handwritten character images. In this method; we have used shape characteristics of
text to get skeleton of nearly same as the true character shape. Tries to find pixel-pairs",,Tries to detect close midsegments by distance and not by topology
An Approach To Automated Conversion From Design Feature Model To Analysis Feature Model,Weijuan Cao ; Xiaoshen Chen ; Shuming Gao,2011,Features,Thinness DimRedn FeatReco,PreDef,Gen,Automatic conversion of design features into analysis (solid/shell) features. Remnant (what's left in final model) of additive features are decomposed into Swept and Non-swept parts. Sketch of Swept portion is extracted; midcurves and swept to create midsurface,Feature based (although not truly). Uses sketch info to create midsurface,Hard to find remnant portions; extract sweep sketch etc.
"Efficient Remeshing And Analysis Views
For Integration Of Design And Analysis",Matthijs Sypkens Smit,2011,Features,Thinness DimRedn ReMesh,PreDef,Gen,Talks about multiple feature-based views of a master-design feature view. Concurrent update of other views; say Manufacturing; Analysis would be done as part is getting built in Design. Clearly states gap that final geometry is analysed rather than using information available in features.,"Talks about One-Side-Not-OK.
Per feature abstraction.
 Has stated mapping between design (BLOCK) and analysis (Midsurface sheet-plate) feature.  Has worked on very basic primitives","Clearly states limitation that  much of research is yet to be done; use of symmetry; various features; various abstractions is not yet handled. 
Algorithms to join ('adjustments') has not been stated."
"Cad Model Simplification Using A Removing Details And Merging Faces Technique   
For A Fem Simulation",Hamdi Mounir ; Aifaoui Nizar ; Benamara Abdelmajid,2012,Brep,DeFeat,,Gen,"Read STEP file
Identify and suppress small features based on criteria
Heal the model
Check topological validity","Good summary of literature survey
Good criteria for defeaturing",
Using  Direct  CAD  Features  and  Parametric  Data  to  Accelerate  CAE Analysis,Shan Nageswaran,2012,Features,DeFeat DimRedn,,Gen,Utilizing CAD like features to  define  mesh quality parameters and then later mesh these features accordingly.  ,feature  based  CAE  modeling  and  CAE  parametric changes.  ,
"Development Of A Cad Model
Simplification Framework For
Finite Element Analysis",Brian Henry Russ,2012,Features,DeFeat,,Gen,"suppression rules by use of a statistical induction learning technique . 
",Automatic identification of non-critical features; accidental suppression of critical child features; ,
Integration design and analysis of excavator boom based on CAD/CAE,Aimin Ji ; Kun Zhu ; Xinlei Huang ; Xu Yin,2013,Features,DeFeat,MA,Gen,Feature based model simplification. ,Defeaturing parameters are collected upfront,No details on how midsurfaces are connected
Abstraction of mid-surfaces from solid models of thin-walled parts: A divide-and-conquer approach,Yoonhwan Woo,2013,Brep,DimRedn FeatReco,PreDef MA,Gen,decomposition on Brep into maximal (no concave edges) volumes which are simpler; get individual midsurfaces; then compose/extend/trim,Detailed study of face pairing; invalidity etc,No details on how midsurfaces are connected
Extraction of generative processes from B-Rep shapes and application to idealization transformations,Flavien Boussuge ; Jean-Claude L´Eon ; St´Efanie Hahmann ; Lionel Fine,2013,Brep,DimRedn FeatReco,MAT,Gen,Given Brep tries to build construction history. Mainly Feature Recognition of Extrudes. Then uses such features to idealize.,"Modeller Independent
States few types of interactions between midsurfaces",Too basic recognition. No details of various cases of midsurface connections
Idealized Models for FEA Derived from Generative Modelling Processes based on Extrusion Primitives,Flavien Boussuge ; Jean-Claude L´Eon ; St´Efanie Hahmann ; Lionel Fine,2013,Brep,DeFeat DimRedn FeatReco,MAT Decomp,Gen,decomposes brep into extrusion primitives and uses its graph for idealization. Tests if individual primitives are idealizable; using MAT. Interfaces for proper connections,"Modeller Independent
States few types of interactions between midsurfaces",Too basic recognition. No details of various cases of midsurface connections
Poly Decomp Algorithm (mnbayazit.com/406/bayazit), Mark Bayazit,2013,Curves,ReMesh,Decomp,Gen,Polygon Decomposition algorithm. ,Simple implementation. Ready code which works on vertex list; no line data structures,Not all basic cases are working. Needs improvement in Ray hitting
Feature-based simplification of boundary representation models using sequential ieterative volume decomposition,Kim; Byung Chul ; Mun; Duhwan,2014,Brep,DeFeat FeatReco,,Gen,Trries to build CSG model out of Brep using 4 types of Decomposition methods (fillets; wrap; split and cellular). Once tree is available; irrelevant features are suppressed to form LoDs,Works on Brep instead of expexting feature tree. Creates a feature tree like structure.,Too basic. Wont scale at all Claims that features are not accecible via APIs; which is wrong.
